Bold,,0.44,0.32,0.61,0.24,0.66,0.3
Useful,,0.7,0.2,0.44,0.28,0.47,0.4
Mighty,,0.48,0.37,0.51,0.28,0.69,0.31
Kind,,0.73,0.22,0.19,0.32,0.57,0.27
Self-satisfied,,0.86,0.1,0.2,0.4,0.62,0.31
Admired,,0.81,0.21,0.44,0.3,0.51,0.34
Proud,,0.77,0.21,0.38,0.34,0.65,0.33
Interested,,0.64,0.2,0.51,0.21,0.17,0.4
Arrogant,,0,0.51,0.34,0.44,0.48,0.34
Inspired,,0.71,0.3,0.63,0.21,0.34,0.55
IExcited,,0.62,0.25,0.75,0.2,0.38,0.29
Influential,,0.68,0.23,0.4,0.33,0.75,0.18
Aggressive,,0.41,0.3,0.63,0.25,0.62,0.24
Strong,,0.58,0.24,0.48,0.3,0.62,0.3
Dignified,,0.55,0.27,0.22,0.4,0.61,0.3
Powerful,,0.54,0.26,0.45,0.36,0.73,0.25
Elated,,0.5,0.47,0.42,0.14,0.23,0.36
Hopeful,,0.51,0.3,0.23,0.33,0.14,0.41
Triumphant,,0.69,0.23,0.57,0.19,0.63,0.26
Joyful,,0.76,0.22,0.48,0.26,0.35,0.31
ICapable,,0.7,0.24,0.28,0.27,0.61,0.31
Lucky,,0.71,0.19,0.48,0.3,0.37,0.29
Responsible,,0.35,0.29,0.38,0.26,0.49,0.37
Friendly,,0.69,0.23,0.35,0.28,0.3,0.27
Masterful,,0.58,0.25,0.44,0.27,0.69,0.25
Free,,0.81,0.14,0.24,0.38,0.46,0.33
Devoted,,0.49,0.25,0.17,0.27,0.1,0.37
Domineering,,0.23,0.37,0.4,0.21,0.58,0.26
Aroused,,0.24,0.28,0.57,0.26,0.22,0.33
Concentrating,,0.42,0.25,0.28,0.27,0.39,0.31
Happy,,0.81,0.21,0.51,0.26,0.46,0.38
Egotistical,,0.24,0.34,0.32,0.25,0.5,0.31
Carefree,,0.78,0.21,0.25,0.39,0.41,0.31
Affectionate,,0.64,0.26,0.35,0.34,0.24,0.4
Vigorous,,0.58,0.22,0.61,0.23,0.49,0.24
Activated,,0.42,0.26,0.58,0.21,0.38,0.28
Alert,,0.49,0.25,0.57,0.2,0.45,0.26
Alone with responsibility,,0.33,0.34,0.34,0.37,0.48,0.36
Controlling,,0.47,0.26,0.34,0.23,0.66,0.25
Proud and lonely,,0.01,0.43,0.02,0.32,0.26,0.4
Enjoyment,,0.77,0.17,0.44,0.26,0.42,0.29
Serious,,0.27,0.22,0.24,0.22,0.42,0.27
Cooperative,,0.39,0.32,0.13,0.27,0.03,0.34
Thankful,,0.61,0.25,0.1,0.34,-0.13,0.35
Respectful ,,0.38,0.39,0.13,0.29,-0.08,0.49
Appreciative ,,0.55,0.26,0.07,0.3,-0.14,0.35
Loved ,,0.87,0.17,0.54,0.26,-0.18,0.3
Grateful ,,0.64,0.23,0.16,0.22,-0.21,0.34
In love,,0.82,0.17,0.65,0.24,-0.05,0.37
Anxious ,,0.01,0.45,0.59,0.31,-0.15,0.32
Impressed ,,0.41,0.26,0.3,0.25,-0.32,0.34
Surprised ,,0.4,0.3,0.67,0.27,-0.13,0.38
Sexually excited ,,0.58,0.26,0.62,0.2,-0.01,0.43
Wonder ,,0.27,0.37,0.24,0.35,-0.17,0.26
Fascinated ,,0.55,0.22,0.51,0.23,-0.07,0.35
Awed ,,0.18,0.34,0.4,0.3,-0.38,0.21
Overwhelmed ,,0.14,0.39,0.45,0.34,-0.24,0.32
Curious ,,0.22,0.3,0.62,0.2,-0.01,0.34
Relaxed ,,0.68,0.3,-0.46,0.38,0.06,0.49
Untroubled ,,0.79,0.25,-0.01,0.46,0.33,0.39
Modest ,,0.27,0.34,-0.06,0.3,0.12,0.39
Secure ,,0.74,0.22,-0.13,0.32,0.03,0.37
Nonchalant ,,0.07,0.35,-0.25,0.31,0.11,0.33
Aloof ,,0.16,0.35,-0.01,0.3,0.25,0.32
Leisurely ,,0.58,0.35,-0.32,0.33,0.11,0.33
Reserved ,,0.01,0.37,-0.19,0.28,0.02,0.37
Protected ,,0.6,0.35,-0.22,0.37,-0.42,0.4
Consoled ,,0.29,0.5,-0.19,0.33,-0.28,0.38
Quiet ,,0.19,0.57,-0.4,0.21,-0.04,0.39
Sheltered ,,0.14,0.43,-0.36,0.32,-0.44,0.24
Humble ,,0.23,0.39,-0.28,0.24,-0.27,0.35
Solemn ,,0.03,0.39,-0.32,0.26,-0.11,0.33
Reverent ,,0.31,0.35,-0.08,0.26,-0.29,0.34
Astonished ,,0.16,0.26,0.88,0.19,-0.15,0.26
Disgusted ,,-0.6,0.2,0.35,0.41,0.11,0.34
Insolent ,,-0.26,0.43,0.21,0.44,0.2,0.31
Cruel ,,-0.45,0.35,0.48,0.32,0.42,0.32
Irritated ,,-0.58,0.16,0.4,0.37,0.01,0.4
Deliant ,,-0.16,0.3,0.54,0.37,0.32,0.42
Hate ,,-0.56,0.16,0.59,0.29,0.13,0.34
Hostile ,,-0.42,0.31,0.53,0.36,0.3,0.32
Angry ,,-0.51,0.2,0.59,0.33,0.25,0.39
Mildly annoyed ,,-0.28,0.16,0.17,0.28,0.04,0.31
Enraged ,,-0.44,0.25,0.72,0.29,0.32,0.44
Contempt ,,-0.23,0.39,0.31,0.33,0.18,0.29
Selfish ,,-0.34,0.31,0.09,0.33,0.31,0.43
Reprehensible ,,-0.09,0.36,0.11,0.24,0.06,0.32
Contemptuous ,,-0.24,0.26,0.31,0.31,0.21,0.32
Scornful ,,-0.35,0.21,0.35,0.27,0.29,0.32
Suspicious ,,-0.25,0.23,0.42,0.21,0.11,0.32
Skeptical ,,-0.22,0.28,0.21,0.25,0.03,0.33
Burdened with responsibility,,-0.08,0.41,0.28,0.31,0.19,0.47
Cold anger,,-0.43,0.29,0.67,0.27,0.34,0.44
Hostile but controlled,,-0.24,0.31,0.42,0.35,0.09,0.38
Crushed,,-0.69,0.5,0.03,0.47,-0.5,0.23
Frustrated,,-0.64,0.18,0.52,0.37,-0.35,0.3
Distressed,,-0.61,0.17,0.28,0.46,-0.36,0.21
Insecure,,-0.57,0.34,0.14,0.42,-0.42,0.29
Humiliated,,-0.63,0.18,0.43,0.34,-0.38,0.3
Hungry,,-0.44,0.26,0.14,0.33,-0.21,0.27
Fearful,,-0.64,0.2,0.6,0.32,-0.43,0.3
Terrified,,-0.62,0.2,0.82,0.25,-0.43,0.34
Embattled,,-0.37,0.24,0.4,0.42,-0.02,0.39
Helpless,,-0.71,0.18,0.42,0.45,-0.51,0.32
Troubled,,-0.63,0.16,0.16,0.4,-0.4,0.24
Startled,,-0.09,0.34,0.65,0.29,-0.33,0.32
Anguished,,-0.5,0.3,0.08,0.46,-0.2,0.34
Shamed,,-0.57,0.33,0.01,0.46,-0.34,0.3
Displeased,,-0.55,0.21,0.16,0.34,-0.05,0.41
Embarrassed,,-0.46,0.3,0.54,0.26,-0.24,0.4
IIIUpset,,-0.63,0.2,0.3,0.39,-0.24,0.24
Defeated,,-0.61,0.24,0.06,0.39,-0.32,0.23
Pain,,-0.58,0.21,0.41,0.31,-0.34,0.28
Quietly indignant,,-0.28,0.35,0.04,0.36,-0.16,0.4
Repentant,,-0.06,0.35,0.06,0.32,-0.12,0.43
Sinful,,-0.3,0.36,0.22,0.33,-0.01,0.41
Shy,,-0.15,0.33,0.06,0.3,-0.34,0.28
Guilty,,-0.57,0.19,0.28,0.38,-0.34,0.28
Weary with responsibility,,-0.27,0.34,0.02,0.28,-0.01,0.35
Angry but detached,,-0.42,0.22,0.28,0.41,-0.03,0.33
Confused,,-0.53,0.2,0.27,0.29,-0.32,0.28
Dissatisfied,,-0.5,0.22,0.05,0.28,0.13,0.32
Regretful,,-0.52,0.24,0.02,0.32,-0.21,0.28
Tense,,-0.33,0.35,0.58,0.32,-0.11,0.39
Disdainful,,-0.32,0.32,-0.11,0.27,0.05,0.29
Depressed,,-0.72,0.21,-0.29,0.44,-0.41,0.28
Despairing,,-0.72,0.21,-0.16,0.34,-0.38,0.25
Lonely,,-0.66,0.35,-0.43,0.36,-0.32,0.3
Meek,,-0.19,0.58,-0.25,0.32,-0.41,0.42
Burdened,,-0.66,0.21,-0.03,0.41,-0.26,0.36
Timid,,-0.15,0.41,-0.12,0.37,-0.47,0.31
Bored,,-0.65,0.19,-0.62,0.24,-0.33,0.21
Feeble,,-0.42,0.35,-0.2,0.42,-0.46,0.31
