ADMIRATION,0.5,0.3,-0.2
ANGER,-0.51,0.59,0.25
DISLIKING,-0.4,0.2,0.1
DISAPPOINTMENT,-0.3,0.1,-0.4
DISTRESS,-0.4,0.2,-0.5
FEAR,-0.64,0.6,-0.43
GLOATING,-0.3,0.3,0.1
GRATIFICATION,0.6,0.5,-0.4
GRATITUDE,0.4,0.2,-0.3
HAPPY FOR?,0.4,0.2,0.2
HATE,-0.6,0.6,0.3
HOPE,0.2,0.2,-0.1
JOY,0.4,0.2,0.1
LIKING,0.4,0.16,-0.24
LOVE,0.3,0.1,0.2
PITY,0.4,0.2,0.5
PRIDE,0.4,0.3,0.3
RELIEF,0.2,0.3,-0.4
REMORSE,-0.3,0.1,-0.6
REPROACH,-0.3,0.1,0.4
RESENTMENT,-0.2,0.3,0.2
SATISFACTION,0.3,0.2,0.4
SHAME,-0.3,0.1,-0.6
NEUTRAL,0,0,0
